stage,date,distance,origin,destination,type,winner,winner_country,year
5,1912-07-08,366,Chamonix,Grenoble,stage with mountain(s),Eugène Christophe,FRA,1912
6,1912-07-10,323,Grenoble,Nice,stage with mountain(s),Octave Lapize,FRA,1912
7,1912-07-12,334,Nice,Marseille,stage with mountain(s),Odile Defraye,BEL,1912
8,1912-07-14,335,Marseille,Perpignan,plain stage,Vicenzo Borgarello,ITA,1912
9,1912-07-16,289,Perpignan,Luchon,stage with mountain(s),Odile Defraye,BEL,1912
10,1912-07-18,326,Luchon,Bayonne,stage with mountain(s),Louis Mottiat,BEL,1912
11,1912-07-20,379,Bayonne,La Rochelle,plain stage,Jean Alavoine,FRA,1912
12,1912-07-21,470,La Rochelle,Brest,plain stage,Louis Heusghem,BEL,1912
13,1912-07-24,405,Brest,Cherbourg,plain stage,Jean Alavoine,FRA,1912
14,1912-07-26,361,Cherbourg,Le Havre,plain stage,Vicenzo Borgarello,ITA,1912
15,1912-07-28,317,Le Havre,Paris,plain stage,Jean Alavoine,FRA,1912
1,1911-07-02,351,Paris,Dunkerque,plain stage,Gustave Garrigou,FRA,1911
2,1911-07-04,388,Dunkerque,Longwy,plain stage,Jules Masselis,BEL,1911
3,1911-07-06,331,Longwy,Belfort,stage with mountain(s),François Faber,LUX,1911
4,1911-07-08,344,Belfort,Chamonix,stage with mountain(s),Charles Crupelandt,FRA,1911
5,1911-07-10,366,Chamonix,Grenoble,stage with mountain(s),Émile Georget,FRA,1911
6,1911-07-12,348,Grenoble,Nice,stage with mountain(s),François Faber,LUX,1911
7,1911-07-14,334,Nice,Marseille,stage with mountain(s),Charles Crupelandt,FRA,1911
8,1911-07-16,335,Marseille,Perpignan,plain stage,Paul Duboc,FRA,1911
9,1911-07-18,289,Perpignan,Luchon,stage with mountain(s),Paul Duboc,FRA,1911
10,1911-07-20,326,Luchon,Bayonne,stage with mountain(s),Maurice Brocco[n 2],FRA,1911
11,1911-07-22,379,Bayonne,La Rochelle,plain stage,Paul Duboc,FRA,1911
12,1911-07-23,470,La Rochelle,Brest,plain stage,Marcel Godivier,FRA,1911
13,1911-07-26,405,Brest,Cherbourg,plain stage,Gustave Garrigou,FRA,1911
14,1911-07-28,361,Cherbourg,Le Havre,plain stage,Paul Duboc,FRA,1911
15,1911-07-30,317,Le Havre,Paris,plain stage,Marcel Godivier,FRA,1911
1,1910-07-03,269,Paris,Roubaix,plain stage,Charles Crupelandt,FRA,1910
2,1910-07-05,398,Roubaix,Metz,plain stage,François Faber,LUX,1910
3,1910-07-07,259,Metz,Belfort,stage with mountain(s),Emile Georget,FRA,1910
4,1910-07-09,309,Belfort,Lyon,stage with mountain(s),François Faber,LUX,1910
5,1910-07-11,311,Lyon,Grenoble,stage with mountain(s),Octave Lapize,FRA,1910
6,1910-07-13,345,Grenoble,Nice,stage with mountain(s),Julien Maitron,FRA,1910
7,1910-07-15,345,Nice,Nîmes,plain stage,François Faber,LUX,1910
8,1910-07-17,216,Nîmes,Perpignan,plain stage,Georges Paulmier,FRA,1910
9,1910-07-19,289,Perpignan,Luchon,stage with mountain(s),Octave Lapize,FRA,1910
10,1910-07-21,326,Luchon,Bayonne,stage with mountain(s),Octave Lapize,FRA,1910
11,1910-07-23,269,Bayonne,Bordeaux,plain stage,Ernest Paul,FRA,1910
12,1910-07-25,391,Bordeaux,Nantes,plain stage,Louis Trousselier,FRA,1910
13,1910-07-27,321,Nantes,Brest,plain stage,Gustave Garrigou,FRA,1910
14,1910-07-29,424,Brest,Caen,plain stage,Octave Lapize,FRA,1910
15,1910-07-31,262,Caen,Paris,plain stage,Ernesto Azzini,ITA,1910
1,1909-07-05,272,Paris,Roubaix,plain stage,Cyrille van Hauwaert,BEL,1909
2,1909-07-07,398,Roubaix,Metz,plain stage,François Faber,LUX,1909
3,1909-07-09,259,Metz,Belfort,stage with mountain(s),François Faber,LUX,1909
4,1909-07-11,309,Belfort,Lyon,stage with mountain(s),François Faber,LUX,1909
5,1909-07-13,311,Lyon,Grenoble,stage with mountain(s),François Faber,LUX,1909
6,1909-07-15,346,Grenoble,Nice,stage with mountain(s),François Faber,LUX,1909
7,1909-07-17,345,Nice,Nîmes,plain stage,Ernest Paul,FRA,1909
8,1909-07-19,303,Nîmes,Toulouse,plain stage,Jean Alavoine,FRA,1909
9,1909-07-21,299,Toulouse,Bayonne,plain stage,Constant Ménager,FRA,1909
10,1909-07-23,269,Bayonne,Bordeaux,plain stage,François Faber,LUX,1909
11,1909-07-25,391,Bordeaux,Nantes,plain stage,Louis Trousselier,FRA,1909
12,1909-07-27,321,Nantes,Brest,plain stage,Gustave Garrigou,FRA,1909
13,1909-07-29,424,Brest,Caen,plain stage,Paul Duboc,FRA,1909
14,1909-08-01,250,Caen,Paris,plain stage,Jean Alavoine,FRA,1909
1,1908-07-13,272,Paris,Roubaix,plain stage,Georges Passerieu,FRA,1908
2,1908-07-15,398,Roubaix,Metz,plain stage,Lucien Petit-Breton,FRA,1908
3,1908-07-17,259,Metz,Belfort,stage with mountain(s),François Faber,LUX,1908
4,1908-07-19,309,Belfort,Lyon,stage with mountain(s),François Faber,LUX,1908
5,1908-07-21,311,Lyon,Grenoble,stage with mountain(s),Georges Passerieu,FRA,1908
6,1908-07-23,345,Grenoble,Nice,stage with mountain(s),Jean-Baptiste Dortignacq,FRA,1908
7,1908-07-25,354,Nice,Nîmes,plain stage,Lucien Petit-Breton,FRA,1908
8,1908-07-27,303,Nîmes,Toulouse,plain stage,François Faber,LUX,1908
9,1908-07-29,299,Toulouse,Bayonne,plain stage,Lucien Petit-Breton,FRA,1908
10,1908-07-31,269,Bayonne,Bordeaux,plain stage,Georges Paulmier,FRA,1908
11,1908-08-02,391,Bordeaux,Nantes,plain stage,Lucien Petit-Breton,FRA,1908
12,1908-08-04,321,Nantes,Brest,plain stage,François Faber,LUX,1908
13,1908-08-06,415,Brest,Caen,plain stage,Georges Passerieu,FRA,1908
14,1908-08-09,251,Caen,Paris,plain stage,Lucien Petit-Breton,FRA,1908
1,1907-07-08,272,Paris,Roubaix,plain stage,Louis Trousselier,FRA,1907
2,1907-07-10,398,Roubaix,Metz,plain stage,Emile Georget[n 2] Louis Trousselier[n 2],"c(""FRA"", ""FRA"")",1907
3,1907-07-12,259,Metz,Belfort,stage with mountain(s),Emile Georget,FRA,1907
4,1907-07-14,309,Belfort,Lyon,stage with mountain(s),Marcel Cadolle,FRA,1907
5,1907-07-16,311,Lyon,Grenoble,stage with mountain(s),Emile Georget,FRA,1907
6,1907-07-18,345,Grenoble,Nice,stage with mountain(s),Georges Passerieu,FRA,1907
7,1907-07-20,345,Nice,Nîmes,plain stage,Emile Georget,FRA,1907
8,1907-07-22,303,Nîmes,Toulouse,plain stage,Emile Georget,FRA,1907
9,1907-07-24,299,Toulouse,Bayonne,plain stage,Lucien Petit-Breton,FRA,1907
10,1907-07-26,269,Bayonne,Bordeaux,plain stage,Gustave Garrigou,FRA,1907
11,1907-07-28,391,Bordeaux,Nantes,plain stage,Lucien Petit-Breton,FRA,1907
12,1907-07-30,321,Nantes,Brest,plain stage,Gustave Garrigou,FRA,1907
13,1907-08-01,415,Brest,Caen,plain stage,Emile Georget,FRA,1907
14,1907-08-04,251,Caen,Paris,plain stage,Georges Passerieu,FRA,1907
1,1906-07-04,275,Paris,Lille,plain stage,Emile Georget,FRA,1906
2,1906-07-06,400,Douai,Nancy,plain stage,René Pottier,FRA,1906
3,1906-07-08,416,Nancy,Dijon,stage with mountain(s),René Pottier,FRA,1906
4,1906-07-10,311,Dijon,Grenoble,plain stage,René Pottier,FRA,1906
5,1906-07-12,345,Grenoble,Nice,stage with mountain(s),René Pottier,FRA,1906
6,1906-07-14,292,Nice,Marseille,plain stage,Georges Passerieu,FRA,1906
7,1906-07-16,480,Marseille,Toulouse,plain stage,Louis Trousselier,FRA,1906
8,1906-07-18,300,Toulouse,Bayonne,plain stage,Jean-Baptiste Dortignacq,FRA,1906
9,1906-07-20,338,Bayonne,Bordeaux,plain stage,Louis Trousselier,FRA,1906
10,1906-07-22,391,Bordeaux,Nantes,plain stage,Louis Trousselier,FRA,1906
11,1906-07-24,321,Nantes,Brest,plain stage,Louis Trousselier,FRA,1906
12,1906-07-26,415,Brest,Caen,plain stage,Georges Passerieu,FRA,1906
13,1906-07-29,259,Caen,Paris,plain stage,René Pottier,FRA,1906
1,1905-07-09,340,Paris,Nancy,plain stage,Louis Trousselier,FRA,1905
2,1905-07-11,299,Nancy,Besançon,stage with mountain(s),Hippolyte Aucouturier,FRA,1905
3,1905-07-14,327,Besançon,Grenoble,plain stage,Louis Trousselier,FRA,1905
4,1905-07-16,348,Grenoble,Toulon,stage with mountain(s),Hippolyte Aucouturier,FRA,1905
5,1905-07-18,192,Toulon,Nîmes,plain stage,Louis Trousselier,FRA,1905
6,1905-07-20,307,Nîmes,Toulouse,plain stage,Jean-Baptiste Dortignacq,FRA,1905
7,1905-07-22,268,Toulouse,Bordeaux,plain stage,Louis Trousselier,FRA,1905
8,1905-07-24,257,Bordeaux,La Rochelle,plain stage,Hippolyte Aucouturier,FRA,1905
9,1905-07-26,263,La Rochelle,Rennes,plain stage,Louis Trousselier,FRA,1905
10,1905-07-28,167,Rennes,Caen,plain stage,Jean-Baptiste Dortignacq,FRA,1905
11,1905-07-29,253,Caen,Paris,plain stage,Jean-Baptiste Dortignacq,FRA,1905
1,1904-07-02,467,Montgeron,Lyon,plain stage,Maurice Garin,FRA,1904
2,1904-07-09,374,Lyon,Marseille,stage with mountain(s),Hippolyte Aucouturier,FRA,1904
3,1904-07-13,424,Marseille,Toulouse,plain stage,Hippolyte Aucouturier,FRA,1904
4,1904-07-17,268,Toulouse,Bordeaux,plain stage,Lucien Pothier,FRA,1904
5,1904-07-20,425,Bordeaux,Nantes,plain stage,Hippolyte Aucouturier,FRA,1904
6,1904-07-23,471,Nantes,Paris,plain stage,Hippolyte Aucouturier,FRA,1904
1,1903-07-01,467,Paris,Lyon,plain stage,Maurice Garin,FRA,1903
2,1903-07-05,374,Lyon,Marseille,stage with mountain(s),Hippolyte Aucouturier,FRA,1903
3,1903-07-08,423,Marseille,Toulouse,plain stage,Hippolyte Aucouturier,FRA,1903
4,1903-07-12,268,Toulouse,Bordeaux,plain stage,Charles Laeser,SUI,1903
5,1903-07-13,425,Bordeaux,Nantes,plain stage,Maurice Garin,FRA,1903
6,1903-07-18,471,Nantes,Paris,plain stage,Maurice Garin,FRA,1903
